Date,High,Low,Open,Close,Volume,Marketcap
2020-01-01 23:59:59,132.835356857,129.19828458,129.630655703,130.802008077,7935230330.4751,14271059633.0755
2020-01-02 23:59:59,130.820037712,126.954910696,130.820037712,127.410182379,8032709256.07622,13902505466.2437
2020-01-03 23:59:59,134.554013719,126.490019807,127.411261334,134.171712485,10476845358.0825,14642130119.6642
2020-01-04 23:59:59,136.052714158,133.040551066,134.168523193,135.069371268,7430904515.09457,14741946278.126
2020-01-05 23:59:59,139.410202121,135.045629195,135.072093991,136.276776707,7526675353.24436,14875569429.664
2020-01-06 23:59:59,144.328182399,136.079631955,136.305547376,144.30415371,9093747120.54445,15753803339.942
2020-01-07 23:59:59,145.001774824,140.4888772,144.311990223,143.543998337,9257954671.54302,15672773110.1732
2020-01-08 23:59:59,146.828000336,138.268202336,143.487828532,141.258134415,9387194956.58904,15425115411.4042
2020-01-09 23:59:59,141.393989012,136.236404404,141.155776805,138.979196656,7697325347.90469,15178151516.9684
2020-01-10 23:59:59,144.167321507,135.5203966,138.967043356,143.963781218,9084816202.76711,15724494552.6748
2020-01-11 23:59:59,146.480905038,142.207954733,143.409108237,142.927114494,9332208590.18775,15613213639.7289
2020-01-12 23:59:59,146.145866271,142.70764568,143.032542583,145.873931189,8528167453.24902,15937115426.2969
2020-01-13 23:59:59,146.791233735,142.907137969,146.220132646,144.226591141,8378529469.79702,15759102081.3277
2020-01-14 23:59:59,167.681553672,144.0649254,144.25104879,165.955358611,16712318373.0187,18135588270.9266
2020-01-15 23:59:59,170.425668392,161.109620478,165.73461492,166.230685102,15173694057.1567,18167930410.6557
2020-01-16 23:59:59,167.058148664,159.709646034,166.332830879,164.391010988,13735193017.9104,17969103320.7762
2020-01-17 23:59:59,173.069206686,162.775606044,164.489378644,170.77995796,14997091825.8827,18669811575.9153
2020-01-18 23:59:59,178.528782319,166.789015581,170.747720668,175.36567147,14929342255.5251,19173512822.9137
2020-01-19 23:59:59,177.247628512,163.676859896,175.467596812,166.969841975,13713374132.1754,18257853531.6232
2020-01-20 23:59:59,169.11487959,162.331598259,166.904132899,167.120509335,11144529787.0924,18276600991.9192
2020-01-21 23:59:59,169.910115785,165.819719081,167.060471487,169.69716391,9789369362.47085,18560711557.1284
2020-01-22 23:59:59,171.008695889,166.774231806,169.608539246,168.294161709,9209827927.92133,18409534609.4783
2020-01-23 23:59:59,168.312241207,160.295318963,168.295706571,162.928558428,10396868698.0135,17824835899.2751
2020-01-24 23:59:59,164.309446677,156.749744617,162.899373257,163.051182861,10657671161.8162,17840465424.1492
2020-01-25 23:59:59,163.22722698,158.632477426,163.067289351,161.283936353,8256956801.64332,17649296255.9479
